"AccountEnabled","AlternativeSecurityIds","ApproximateLastSignInDateTime","ComplianceExpirationDateTime","DeletedDateTime","DeviceCategory","DeviceId","DeviceMetadata","DeviceOwnership","DeviceVersion","DisplayName","EnrollmentProfileName","Extensions","Id","IsCompliant","IsManaged","MdmAppId","MemberOf","OnPremisesLastSyncDateTime","OnPremisesSyncEnabled","OperatingSystem","OperatingSystemVersion","PhysicalIds","ProfileType","RegisteredOwners","RegisteredUsers","RegistrationDateTime","SystemLabels","TransitiveMemberOf","TrustType","AdditionalProperties"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","07/02/2023 14:13:55",,,,"ec5126fb-3018-487c-ae55-cc75eb3c2ba7",,"Company","2","Asapnet Iphone",,,"1c4a9172-0ab5-4623-ac2e-b600e9053aa2","False","True",,,,,"IPhone","15.8","System.String[]","RegisteredDevice",,,"16/10/2018 10:40:18","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","11/12/2023 02:18:20",,,,"af12c471-d26f-4424-8d7d-41d7a3a69822",,"Company","2","ACLT23","ASAPCLOUD Laptops Admin User",,"1e62aaf9-3d3b-4305-8c18-09b5a1a2635d","False","False","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.19044.1645","System.String[]","RegisteredDevice",,,"07/06/2021 09:02:40","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","06/10/2022 13:18:25",,,,"fe94fcc5-a5a5-43a9-9a96-19a019ebef41",,"Personal","2","iPhone van Anne",,,"227dbedd-e9fe-40f4-8fa2-ee807542a0f3","False","False",,,,,"IPhone","15.4.1","System.String[]","RegisteredDevice",,,"21/09/2021 07:02:22","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","04/12/2021 15:34:24",,,,"8d21aa3c-8ba0-4e5f-b855-a665e558ad53",,,"2","DESKTOP-DCQK8EL",,,"228b1215-7986-4147-a22a-3139c190d164",,,,,,,"Windows","10.0.17763.0","System.String[]","RegisteredDevice",,,"20/04/2020 11:47:04","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","17/12/2023 15:47:59",,,,"d54e788e-02b8-4a46-b570-dd40f71e4411",,,"2","iPhone",,,"26264fc5-7903-4775-a0c5-bf45eee600f9",,,,,,,"iOS","13.6.1","System.String[]","RegisteredDevice",,,"20/06/2020 11:56:20","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","16/09/2023 23:41:29",,,,"e1c99deb-f116-4361-be95-e4d962e6df74",,"Personal","2","Joshua’s iPhone",,,"26bfd064-1aff-4157-a93e-404f66231f01","False","True","0000000a-0000-0000-c000-000000000000",,,,"IPhone","15.6.1","System.String[]","RegisteredDevice",,,"05/02/2023 14:45:48","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","08/12/2023 10:05:10",,,,"6258ff75-93c8-46e8-8481-2fcbaad9c402",,,"2","LAPTOP",,,"282c26d2-9295-4df6-b1f7-0d9db6b5771e",,,,,,,"Windows","10.0.22621.674","System.String[]","RegisteredDevice",,,"24/10/2022 19:46:51","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","06/11/2021 07:35:21",,,,"1ed3fcf3-d2ab-45a5-bd3a-6ce6de5ac341",,,"2","DESKTOP-4RE0E0V",,,"28746de3-c0b8-4e63-b218-660f64b4a5bc",,,,,,,"Windows","10.0.19041.746","System.String[]","RegisteredDevice",,,"06/02/2021 05:13:45","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","20/12/2023 13:20:08",,,,"cc01c363-f5c4-4056-a9d3-8e02b1a3c7cd",,,"2","iPhone SE (3rd generation)",,,"2a36e536-f8aa-4d76-b0dc-7161f076823f",,,,,,,"iOS","16.6","System.String[]","RegisteredDevice",,,"20/10/2023 12:02:00","System.String[]",,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphAlternativeSecurityId[]","05/10/2021 09:58:55",,,"Windows","ac311194-3e23-48e3-ac6f-cd7a2734767a",,"Company","2","ACLT06","ASAPCLOUD Laptops Admin User",,"2b67ffc3-e035-4b82-bc7c-19e5e4495404","False","False","0000000a-0000-0000-c000-000000000000",,,,"Windows","10.0.19043.1052","System.String[]","RegisteredDevice",,,"18/09/2020 07:35:29","System.String[]",,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
